metraj,Sale Sakht,otagh,location,price,floor
۱۳۳,۱۳۸۵,۲,لحظاتی پیش در تهران، نیاوران,۲۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳ از ۵
۲۳۰,۱۳۹۵,۳,دقایقی پیش در تهران، دروس,۴۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵ از ۵
۸۶,۱۳۸۴,۲,دقایقی پیش در تهران، سازمان برنامه,۶٬۹۰۰٬۰۰۰٬۰۰۰ تومان,همکف
۱۵۵,۱۳۹۹,۳,دقایقی پیش در تهران، سعادت‌آباد,۳۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۴
۱۲۰,۱۴۰۲,۲,دقایقی پیش در تهران، دریاچه شهدای خلیج فارس,۲٬۱۵۰٬۰۰۰٬۰۰۰ تومان,۱۰ از ۱۶
۱۲۷,۱۳۹۷,۳,دقایقی پیش در تهران، جنت‌آباد جنوبی,۱۱٬۸۸۰٬۰۰۰٬۰۰۰ تومان,۴
۹۸,۱۳۹۶,۲,لحظاتی پیش در تهران، جنت‌آباد شمالی,۹٬۴۹۰٬۰۰۰٬۰۰۰ تومان,۵ از ۵
۱۶۲,۱۴۰۲,۳,لحظاتی پیش در تهران، دریاچه شهدای خلیج فارس، خیابان اردستانی,۹٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۹
۶۴,۱۴۰۰,۱,لحظاتی پیش در تهران، مبارک‌آباد بهشتی,۱٬۹۵۲٬۰۰۰٬۰۰۰ تومان,۳
۲۰۹,۱۴۰۰,۴,لحظاتی پیش در تهران، الهیه,۵۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴
۴۴,۱۳۸۳,۱,دقایقی پیش در تهران، سلسبیل,۲٬۲۵۰٬۰۰۰٬۰۰۰ تومان,۲
۴۹,۱۳۹۹,۱,دقایقی پیش در تهران، مبارک‌آباد بهشتی,۱٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۱
۷۰,۱۴۰۰,۲,دقایقی پیش در تهران، دیلمان,۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱
۶۰,۱۴۰۲,۲,"دقایقی پیش در تهران، مبارک‌آباد بهشتی,خونه معامله نکن تا کارشناسیش نکردی",۱٬۹۲۰٬۰۰۰٬۰۰۰ تومان,۲
۱۴۵,۱۳۸۲,۳,دقایقی پیش در تهران، یوسف‌آباد,۱۶٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۶ از ۶
۹۰,۱۴۰۲,۲,دقایقی پیش در تهران، جنت‌آباد جنوبی، میدان چهار باغ,۱۲٬۶۸۰٬۰۰۰٬۰۰۰ تومان,۵ از ۵
۹۸,۱۳۹۰,۲,دقایقی پیش در تهران، پونک,۹٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱ از ۵
۹۵,۱۳۹۲,۲,دقایقی پیش در تهران، پونک,۱۰٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳ از ۵
۱۱۰,۱۳۹۷,۲,دقایقی پیش در تهران، شهران جنوبی,۱۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵ از ۵
۱۲۵,۱۳۹۹,۲,دقایقی پیش در تهران، جردن,۱۶٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱
۷۲,۱۴۰۲,۲,دقایقی پیش در تهران، مبارک‌آباد بهشتی,۲٬۰۱۶٬۰۰۰٬۰۰۰ تومان,۲
۱۵۵,۱۴۰۲,۳,لحظاتی پیش در تهران، شهرک راه‌آهن,۱۵۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳ از ۳
۷۱,۱۳۹۶,۲,دقایقی پیش در تهران، مبارک‌آباد بهشتی,۲٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۳
۴۱,۱۳۹۶,۱,دقایقی پیش در تهران، فلاح,۲٬۰۵۰٬۰۰۰٬۰۰۰ تومان,۱
۷۰,۱۴۰۱,۲,دقایقی پیش در تهران، مبارک‌آباد بهشتی,۱٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۴
۱۰۰,۱۴۰۲,۲,دقایقی پیش در تهران، دریاچه شهدای خلیج فارس,۲٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۱۵ از ۲۲
۱۸۷,۱۳۹۰,۳,دقایقی پیش در تهران، سعادت‌آباد,۳۹٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳
۸۴,۱۳۹۴,۲,دقایقی پیش در تهران، نازی‌آباد,۷٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۴ از ۵
۷۳,۱۳۹۶,۱,دقایقی پیش در تهران، ولنجک,۱۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳
۵۸,۱۳۹۵,۱,دقایقی پیش در تهران، کوی فردوس,۵٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۳
۶۵,۱۳۹۶,۲,"دقایقی پیش در تهران، جنت‌آباد جنوبی,خونه معامله نکن تا کارشناسیش نکردی",۷٬۱۵۰٬۰۰۰٬۰۰۰ تومان,۱
۴۶,۱۴۰۲,۱,دقایقی پیش در تهران، جیحون,۲٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۳ از ۴
۶۵,۱۴۰۲,۱,دقایقی پیش در تهران، خزانه,۳٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۵
۱۰۴,۱۴۰۲,۲,دقایقی پیش در تهران، چیتگر، میدان ساحل (بلوار علامه قزوینی),۱٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۱۱ از ۱۳
۱۲۲,۱۴۰۱,۲,لحظاتی پیش در تهران، فرمانیه,۱۵٬۸۶۰٬۰۰۰٬۰۰۰ تومان,۲ از ۱۱
۷۰,۱۳۷۴,۲,دقایقی پیش در تهران، زنجان، خیابان بهنود (کنارگذر یادگار امام),۴٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۳
